,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
81,Ricardo Bueno\Ricardo-Bueno,br BRA,FW,Ceará,31,1987,6,4,340,3,2,0,1,0,0,0.79,0.53,1.32,0.79,1.32,Matches
82,Vitor Bueno\Vitor-Bueno,br BRA,MFFW,São Paulo,24,1994,28,18,1653,6,1,0,0,2,0,0.33,0.05,0.38,0.33,0.38,Matches
83,Héctor Bustamante\Hector-Bustamante,py PAR,MFFW,CSA,23,1995,19,14,1174,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,Matches
84,Patric Cabral Lalau\Patric-Cabral-Lalau,br BRA,DF,Atlético Mineiro,29,1989,24,23,2048,1,2,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches
85,Ariel Cabral\Ariel-Cabral,ar ARG,MF,Cruzeiro,31,1987,16,11,769,0,1,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
86,Cacá\Caca,br BRA,DF,Cruzeiro,19,1999,20,18,1727,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
87,Raúl Cáceres\Raul-Caceres,py PAR,DFMF,Vasco da Gama,27,1991,7,6,481,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Caio\Caio,br BRA,GK,Atl Paranaense,22,1997,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Rodrigo Caio\Rodrigo-Caio,br BRA,DF,Flamengo,25,1993,29,28,2419,2,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
90,Marcos Calazans\Marcos-Calazans,br BRA,MF,São Paulo,22,1996,4,1,138,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Guilherme Camacho\Guilherme-Camacho,br BRA,MF,Atl Paranaense,28,1990,11,8,696,0,1,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
92,Fernando Camilo Farias\Fernando-Camilo-Farias,br BRA,MFFW,Chapecoense,32,1986,28,25,2058,1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,Matches
