,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
65,Kevin Balanta\Kevin-Balanta,co COL,MF,Tijuana,21,1997,1,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Facundo Barcelo\Facundo-Barcelo,uy URU,FW,Atlas,25,1993,14,11,950,2,1,0,0,2,1,0.19,0.09,0.28,0.19,0.28,Matches
67,Adam Bareiro\Adam-Bareiro,py PAR,FW,Monterrey,22,1996,6,4,304,1,1,0,0,0,0,0.30,0.30,0.59,0.30,0.59,Matches
68,Marcelo Barovero\Marcelo-Barovero,ar ARG,GK,Monterrey,34,1984,32,32,2880,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Martín Barragán\Martin-Barragan,mx MEX,FW,Necaxa,27,1991,18,9,798,1,2,0,0,0,0,0.11,0.23,0.34,0.11,0.34,Matches
70,Jaine Barreiro\Jaine-Barreiro,co COL,DF,Pachuca,24,1994,23,21,1892,2,0,0,0,5,1,0.10,0.00,0.10,0.10,0.10,Matches
71,Pablo Barrera\Pablo-Barrera,mx MEX,MF,UNAM,31,1987,32,29,2569,5,6,2,2,5,1,0.18,0.21,0.39,0.11,0.32,Matches
72,Pablo Barrientos\Pablo-Barrientos,ar ARG,MFFW,Toluca,33,1985,16,13,1161,2,2,1,1,4,0,0.16,0.16,0.31,0.08,0.23,Matches
73,Juan Basulto\Juan-Basulto,mx MEX,DFMF,Guadalajara,26,1992,13,9,945,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Necaxa,32,1985,25,20,1841,0,1,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
75,Fernando Beltrán\Fernando-Beltran,mx MEX,MF,Guadalajara,20,1998,19,11,1156,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
76,Nicolás Benedetti\Nicolas-Benedetti,co COL,MFFW,América,21,1997,9,4,446,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,Matches
77,Alfonso Blanco Antúnez\Alfonso-Blanco-Antunez,mx MEX,GK,Pachuca,31,1987,32,32,2880,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Miller Bolaños\Miller-Bolanos,ec ECU,MFFW,Tijuana,28,1990,30,28,2460,9,3,1,2,9,0,0.33,0.11,0.44,0.29,0.40,Matches
79,Nenê Bonilha\Nene-Bonilha,br BRA,MF,Veracruz,26,1992,6,1,254,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Cristian Borja\Cristian-Borja,co COL,DF,Toluca,25,1993,16,14,1282,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
81,Mauro Boselli\Mauro-Boselli,ar ARG,FW,León,33,1985,17,17,1471,6,3,2,2,1,0,0.37,0.18,0.55,0.24,0.43,Matches
82,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,Tijuana,28,1990,14,14,1144,8,5,3,3,1,0,0.63,0.39,1.02,0.39,0.79,Matches
83,Diego Braghieri\Diego-Braghieri,ar ARG,DF,Tijuana,31,1987,16,16,1424,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
84,Matías Britos\Matias-Britos,uy URU,FW,Querétaro,29,1988,13,9,801,0,1,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
85,Isaác Brizuela\Isaac-Brizuela,mx MEX,MF,Guadalajara,27,1990,33,32,2884,4,9,0,0,2,1,0.12,0.28,0.41,0.12,0.41,Matches
86,Hernán Burbano\Hernan-Burbano,co COL,MF,Atlas,30,1988,12,9,712,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
87,Nahuel Bustos\Nahuel-Bustos,ar ARG,FW,Pachuca,20,1998,3,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,David Cabrera Pujol\David-Cabrera-Pujol,mx MEX,MFFW,UNAM,28,1989,22,4,677,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
89,Javier Cabrera\Javier-Cabrera,uy URU,FWMF,Toluca,26,1992,5,0,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Luis Caicedo Medina\Luis-Caicedo-Medina,ec ECU,DF,Veracruz,26,1992,17,14,1403,0,1,0,0,5,1,0.00,0.06,0.06,0.00,0.06,Matches
91,Cristian Calderón\Cristian-Calderon,mx MEX,DF,Atlas,21,1997,15,14,1239,0,1,0,0,2,1,0.00,0.07,0.07,0.00,0.07,Matches
92,Cristian Calderón\Cristian-Calderon,mx MEX,DF,Necaxa,21,1997,16,16,1440,4,1,0,0,4,0,0.25,0.06,0.31,0.25,0.31,Matches
93,Juan Calero\Juan-Calero,co COL,MFFW,León,19,1998,10,4,346,0,1,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
94,Carlos Calvo\Carlos-Calvo,mx MEX,DF,Toluca,25,1992,2,2,173,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
