,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
72,Diego Arismendi\Diego-Arismendi,uy URU,MF,Rosario Cent,30,1988,4,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Franco Armani\Franco-Armani,ar ARG,GK,River Plate,31,1986,20,20,1800,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Adrián Arregui\Adrian-Arregui,ar ARG,MF,San Martin,25,1992,18,17,1379,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Matches
75,Marcos Arturia\Marcos-Arturia,ar ARG,FW,Talleres,20,1998,2,0,38,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
76,Yamil Asad\Yamil-Asad,ar ARG,MF,Vélez Sarsf,24,1994,1,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Gonzalo Asis\Gonzalo-Asis,ar ARG,MFDF,Independiente,22,1996,2,2,162,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Fabián Assmann\Fabian-Assmann,ar ARG,GK,Aldosivi,32,1986,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Tomás Attis\Tomas-Attis,ar ARG,FW,Belgrano,18,1999,5,0,85,0,1,0,0,1,0,0.00,1.06,1.06,0.00,1.06,Matches
80,Carlos Auzqui\Carlos-Auzqui,ar ARG,MF,CA Huracán,27,1991,20,17,1349,3,0,0,0,6,2,0.20,0.00,0.20,0.20,0.20,Matches
81,Gabriel Ávalos\Gabriel-Avalos,py PAR,FW,Godoy Cruz,27,1990,10,1,179,2,0,0,0,0,0,1.01,0.00,1.01,1.01,1.01,Matches
82,Gabriel Ávalos\Gabriel-Avalos,py PAR,FW,Patronato,27,1990,10,10,828,4,1,1,1,1,0,0.43,0.11,0.54,0.33,0.43,Matches
83,Víctor Ayala\Victor-Ayala,py PAR,MFDF,Gimnasia ELP,30,1988,16,13,1138,1,2,0,0,5,0,0.08,0.16,0.24,0.08,0.24,Matches
84,Adrián Balboa\Adrian-Balboa,uy URU,FWMF,Belgrano,24,1994,12,6,650,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
85,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Boca Juniors,19,1999,5,5,450,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Miguel Barbieri\Miguel-Barbieri,ar ARG,DF,Rosario Cent,24,1993,11,10,945,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
87,David Barbona\David-Barbona,ar ARG,MF,Tucumán,23,1995,23,18,1504,3,4,0,0,2,0,0.18,0.24,0.42,0.18,0.42,Matches
88,Alexander Barboza\Alexander-Barboza,ar ARG,DF,Defensa y Just,23,1995,24,22,1991,1,2,1,1,5,0,0.05,0.09,0.14,0.00,0.09,Matches
89,Facundo Barboza\Facundo-Barboza,ar ARG,MF,Argentinos Jun,22,1996,8,4,396,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Facundo Barboza\Facundo-Barboza,ar ARG,MF,Godoy Cruz,22,1996,5,1,117,0,1,0,0,0,0,0.00,0.77,0.77,0.00,0.77,Matches
91,Facundo Barcelo\Facundo-Barcelo,uy URU,FW,Patronato,25,1993,11,9,778,6,1,1,1,3,0,0.69,0.12,0.81,0.58,0.69,Matches
92,Lucas Bareiro\Lucas-Bareiro,ar ARG,DF,Defensa y Just,23,1995,9,7,550,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Álvaro Barreal\Alvaro-Barreal,ar ARG,MF,Vélez Sarsf,17,2000,9,0,165,1,0,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches
94,Jarlan Barrera\Jarlan-Barrera,co COL,MF,Rosario Cent,22,1995,2,1,76,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
95,José Barreto\Jose-Barreto,ar ARG,FW,Patronato,18,2000,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Sergio Barreto\Sergio-Barreto,ar ARG,DF,Independiente,19,1999,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Fernando Barrientos\Fernando-Barrientos,ar ARG,MF,Defensa y Just,26,1991,5,1,136,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Fernando Barrientos\Fernando-Barrientos,ar ARG,MF,Lanús,26,1991,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Lucas Barrios\Lucas-Barrios,py PAR,FW,CA Huracán,33,1984,10,7,650,3,0,0,0,0,1,0.42,0.00,0.42,0.42,0.42,Matches
100,Nahuel Barrios\Nahuel-Barrios,ar ARG,MFFW,San Lorenzo,20,1998,8,4,379,0,1,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches
101,Pier Barrios\Pier-Barrios,ar ARG,DF,Tucumán,28,1990,3,3,253,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Wílmar Barrios\Wilmar-Barrios,co COL,MF,Boca Juniors,24,1993,6,6,510,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Adrián Bastía\Adrian-Bastia,ar ARG,MF,Colón,39,1978,8,6,449,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Augusto Batalla\Augusto-Batalla,ar ARG,GK,Tigre,22,1996,10,10,815,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
105,Damián Batallini\Damian-Batallini,ar ARG,MFFW,Argentinos Jun,22,1996,15,12,1097,2,1,0,0,3,0,0.16,0.08,0.25,0.16,0.25,Matches
106,Juan Bautista Cejas\Juan-Bautista-Cejas,ar ARG,MF,Estudiantes,20,1998,2,0,76,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Nazareno Bazán\Nazareno-Bazan,ar ARG,FW,Vélez Sarsf,19,1999,2,0,33,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Nicolás Bazzana\Nicolas-Bazzana,ar ARG,DF,Estudiantes,22,1996,5,5,425,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Diego Becker\Diego-Becker,ar ARG,MF,Rosario Cent,20,1997,6,3,246,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Pablo Becker\Pablo-Becker,ar ARG,MF,Rosario Cent,25,1993,2,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Fernando Belluschi\Fernando-Belluschi,ar ARG,MF,San Lorenzo,34,1983,13,9,880,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
112,Tomás Belmonte\Tomas-Belmonte,ar ARG,MF,Lanús,20,1998,24,24,2113,4,1,0,0,8,0,0.17,0.04,0.21,0.17,0.21,Matches
113,Lucas Beltrán\Lucas-Beltran,ar ARG,FW,River Plate,17,2001,4,1,118,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Carlos Benavídez\Carlos-Benavidez,uy URU,MF,Independiente,20,1998,3,2,159,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Boca Juniors,32,1986,15,10,871,2,1,1,1,4,0,0.21,0.10,0.31,0.10,0.21,Matches
116,Martín Benítez\Martin-Benitez,ar ARG,MFFW,Independiente,24,1994,19,13,1211,3,1,0,0,0,0,0.22,0.07,0.30,0.22,0.30,Matches
117,Oscar Benítez\Oscar-Benitez,ar ARG,MFFW,Argentinos Jun,25,1993,8,6,520,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Hernán Bernardello\Hernan-Bernardello,ar ARG,MF,Newell's OB,31,1986,12,12,1055,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Hernán Bernardello\Hernan-Bernardello,ar ARG,MF,Godoy Cruz,31,1986,6,6,443,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Christian Bernardi\Christian-Bernardi,ar ARG,MF,Colón,28,1990,19,8,893,1,0,1,1,1,0,0.10,0.00,0.10,0.00,0.00,Matches
121,Fernando Bersano\Fernando-Bersano,ar ARG,DFMF,Talleres,20,1998,8,8,627,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Germán Berterame\German-Berterame,ar ARG,FW,Patronato,19,1998,10,10,840,3,1,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches
123,Germán Berterame\German-Berterame,ar ARG,FW,San Lorenzo,19,1998,2,0,62,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Sebastián Bértoli\Sebastian-Bertoli,ar ARG,GK,Patronato,40,1977,25,25,2250,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Nicolás Bertolo\Nicolas-Bertolo,ar ARG,MF,Banfield,32,1986,10,6,594,2,0,0,0,3,0,0.30,0.00,0.30,0.30,0.30,Matches
126,Gonzalo Bettini\Gonzalo-Bettini,ar ARG,DF,Rosario Cent,26,1991,20,20,1800,0,2,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
127,Bruno Bianchi\Bruno-Bianchi,ar ARG,DF,Tucumán,29,1989,20,20,1746,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
128,Claudio Bieler\Claudio-Bieler,ar ARG,FW,San Martin,34,1984,21,17,1589,4,2,1,2,2,0,0.23,0.11,0.34,0.17,0.28,Matches
129,Mariano Bíttolo\Mariano-Bittolo,ar ARG,DF,Newell's OB,28,1990,18,18,1506,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
130,Domingo Blanco\Domingo-Blanco,ar ARG,MF,Defensa y Just,23,1995,24,22,1946,0,2,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches
131,Nicolás Blandi\Nicolas-Blandi,ar ARG,FW,San Lorenzo,28,1990,12,12,1015,7,1,0,1,1,0,0.62,0.09,0.71,0.62,0.71,Matches
132,Brian Blasi\Brian-Blasi,ar ARG,DF,CA Unión,22,1996,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Raúl Bobadilla\Raul-Bobadilla,py PAR,FW,Argentinos Jun,31,1987,13,10,824,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Mauro Bogado\Mauro-Bogado,ar ARG,MF,CA Huracán,34,1984,4,1,94,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Mauro Bogado\Mauro-Bogado,ar ARG,MF,San Martín SJ,34,1984,10,9,768,1,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches
136,Gastón Bojanich\Gaston-Bojanich,ar ARG,DF,Argentinos Jun,33,1985,15,15,1350,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Iván Bolaño\Ivan-Bolano,ar ARG,MF,Tigre,20,1998,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
